序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/12/31,松山,1.8,0.26,424.68,29.1,7,5,15.4,2.92,12.48,1.845,0.051,1.794,1.84,1.36,15.7,-,-,90.56,-
2,臺北市,2018/12/31,古亭,1.7,0.27,-,29.1,9,6,13.68,2.18,11.5,1.98,0.062,1.918,2.3,1.99,16.1,-,-,92.33,-
3,臺北市,2018/12/31,中山,1.7,0.36,-,25.6,10,7,18.65,3.4,15.25,1.919,0.091,1.828,2.22,1.83,16.46,-,-,93.42,-
4,臺北市,2018/12/31,大同,2.2,0.69,-,-,10,4,49.27,24.86,24.4,2.147,0.196,1.95,-,-,-,-,-,-,-
5,臺北市,2018/12/31,萬華,1.1,0.3,-,24.8,7,3,17.35,3.03,14.32,-,-,-,2.47,2.09,17.07,-,-,84.5,-
6,臺北市,2018/12/31,陽明,0.7,0.15,411.35,37.7,5,1,1.42,0.27,1.08,-,-,-,2.23,-,10.67,1.98,5.1,99.5,2.96
7,臺北市,2018/12/31,士林,0.5,0.25,-,30.3,6,3,8.35,1,7.36,-,-,-,2.17,1.75,17.67,-,-,79.92,-
8,臺北市,2018/12/30,松山,2.2,0.24,424.3,31.1,14,7,13.49,2.06,11.43,1.848,0.053,1.795,2.21,1.68,14.6,-,-,85.52,-
9,臺北市,2018/12/30,古亭,1.4,0.26,-,32.1,14,8,10.95,2.24,8.7,1.968,0.053,1.915,3.12,2.73,15.23,-,-,84.97,-
10,臺北市,2018/12/30,中山,0.9,0.36,-,27.1,15,7,18.9,3.74,15.16,1.908,0.085,1.823,2.5,2.09,15.2,-,-,90.52,-
11,臺北市,2018/12/30,大同,1.9,0.5,-,-,17,5,32.85,12.86,19.98,2.058,0.12,1.938,-,-,-,-,-,-,-
12,臺北市,2018/12/30,萬華,1.4,0.3,-,26.3,13,5,17.75,3.23,14.52,-,-,-,2.78,2.46,15.83,-,-,80.38,-
13,臺北市,2018/12/30,陽明,1.6,0.16,413.18,39.2,5,3,1.45,0.3,1.06,-,-,-,4.14,-,9.11,2.98,4.52,99.5,39.6
14,臺北市,2018/12/30,士林,1.2,0.2,-,37.7,8,4,4.22,1.49,2.72,-,-,-,2.9,2.59,16.5,-,-,75.97,-
15,臺北市,2018/12/29,松山,1.4,0.3,427.33,28.5,21,9,16.27,3.35,12.92,1.858,0.067,1.791,2.42,1.89,13.05,-,-,79.39,-
16,臺北市,2018/12/29,古亭,1.4,0.34,-,29.5,22,11,14.08,2.86,11.22,1.991,0.072,1.919,3.07,2.72,13.53,-,-,80.53,-
17,臺北市,2018/12/29,中山,1.1,0.42,-,25.2,23,8,21.86,4.79,17.07,1.924,0.103,1.821,2.29,1.76,13.98,-,-,81.11,-
18,臺北市,2018/12/29,大同,0.7,0.52,-,-,21,10,32.25,14.64,17.59,2.05,0.117,1.933,-,-,-,-,-,-,-
19,臺北市,2018/12/29,萬華,1.3,0.33,-,24.7,20,7,18.6,3.79,14.81,-,-,-,3.02,2.53,14.34,-,-,72.15,-
20,臺北市,2018/12/29,陽明,1.1,0.19,414.96,37,8,5,1.55,0.25,1.25,-,-,-,2.29,-,6.68,1.2,4.12,99.5,75.3
21,臺北市,2018/12/29,士林,0.9,0.22,-,36.9,14,7,5.2,1.72,3.47,-,-,-,3.72,3.04,14.79,-,-,70.35,-
22,臺北市,2018/12/28,松山,1.6,0.36,425.55,29.3,19,6,16.57,2.86,13.7,1.867,0.068,1.8,2.59,2.16,14.29,-,-,82.88,-
23,臺北市,2018/12/28,古亭,1.5,0.4,-,27.3,21,11,19.28,4.2,15.08,2.025,0.095,1.93,2.92,2.42,14.81,-,-,84.04,-
